org_text,clean_text,start_time,signer_id,signer,start,end,file,label,height,fps,end_time,url,text,box,width,video,review,dataset
run,run,0.0,11,39,0,53,RUN,169,360.0,29.97,1.768,www.youtube.com/watch?v=o-ii7m7zxx0,run,"[0.04212412238121033, 0.21571335196495056, 0.9983016848564148, 0.7866554260253906]",480.0,,,test
color,color,0.0,20,32,0,42,SignSchool Color,146,360.0,23.976,1.752,www.youtube.com/watch?v=fdBoYowmVQ8,color,"[0.0668441653251648, 0.374290406703949, 1.0, 0.8284081816673279]",640.0,,,test
lobster,lobster,0.0,20,-1,0,34,SignSchool Lobster Crab 3,626,360.0,23.976,1.418,www.youtube.com/watch?v=EnQtp2K8NO4,lobster,"[0.07185754179954529, 0.17108404636383057, 1.0, 0.8148400783538818]",640.0,,,test
mean,mean,0.0,20,40,0,38,SignSchool Mean,184,360.0,23.976,1.585,www.youtube.com/watch?v=Eigdeaxm2Do,mean,"[0.056600332260131836, 0.3216845989227295, 1.0, 0.8747189044952393]",640.0,,,test
green,green,0.0,11,39,0,40,GREEN(2),65,360.0,29.97,1.335,www.youtube.com/watch?v=-_amEuxo4-c,green,"[0.051609307527542114, 0.20462629199028015, 0.9952216148376465, 0.7579907178878784]",480.0,,,test
STORE(SHOP),store,0.0,67,13,0,62,STORE(SHOP),113,720.0,15.0,4.133,https://www.youtube.com/watch?v=JjR_8IzvtiA,sell,"[0.02896985411643982, 0.12776610255241394, 1.0, 0.8614680767059326]",1280.0,,,test
laugh,laugh,0.0,92,2,0,33,SignSchool Laugh,312,360.0,23.976,1.376,www.youtube.com/watch?v=oh9ICnOKTJA,laugh,"[0.1335521638393402, 0.18490302562713623, 1.0, 0.7590514421463013]",640.0,,,test
believe,believe,0.0,20,40,0,32,SignSchool Believe Belief,780,360.0,23.976,1.335,www.youtube.com/watch?v=Gn3JioBwLgg,believe,"[0.0552864670753479, 0.298022985458374, 1.0, 0.838461697101593]",640.0,,,test
screwdriver,screwdriver,0.0,11,39,0,61,screwdriver,814,360.0,29.97,2.035,www.youtube.com/watch?v=1xQSj2My55s,screwdriver,"[0.08298131823539734, 0.09362271428108215, 1.0, 0.7780181765556335]",480.0,,,test
black,black,0.0,20,40,0,55,SignSchool Black,41,360.0,23.976,2.294,www.youtube.com/watch?v=Mr3gdFh3A28,black,"[0.06213653087615967, 0.21701061725616455, 1.0, 0.8345159292221069]",640.0,,,test
SPAIN,spain,11.378,26,20,341,432,ASL2 Class 34 SIGNS,632,720.0,29.97,14.414,https://www.youtube.com/watch?v=FWc_-goPDiY,spain,"[0.12853312492370605, 0.23995323479175568, 1.0, 0.7596531510353088]",1280.0,/mnt/d/ASL/videos/FWc_-goPDiY.mkv,1.0,test
short hair,short hair,0.0,20,-1,0,35,SignSchool Short Hair 1h,610,360.0,29.97,1.168,www.youtube.com/watch?v=T074gWRkfTk,short hair,"[0.049945712089538574, 0.23779022693634033, 1.0, 0.8431648015975952]",640.0,,,test
SAME,same,0.0,67,13,0,43,SAME,70,720.0,29.97,1.435,https://www.youtube.com/watch?v=rDAGt54vEsI,same,"[0.0, 0.26097068190574646, 1.0, 0.7127329111099243]",1280.0,,,test
HOLLAND,holland,12.513,26,20,375,475,ASL2 Class 33 SIGNS,598,720.0,29.97,15.849,https://www.youtube.com/watch?v=p2xuU6C_p0Y,netherlands,"[0.04132935404777527, 0.07576638460159302, 1.0, 0.8743395209312439]",1280.0,/mnt/d/ASL/videos/p2xuU6C_p0Y.mkv,1.0,test
hippo,hippo,0.0,11,39,0,61,HIPPO,932,360.0,29.97,2.035,www.youtube.com/watch?v=Udhre0lpmhg,hippo,"[0.09705841541290283, 0.21249929070472717, 1.0, 0.786745548248291]",480.0,,,test
PSHAW,pshaw,13.914,26,20,417,472,ASL2 Class 20 SIGNS,965,720.0,29.97,15.749,https://www.youtube.com/watch?v=UxuLj17UyDU,pshaw,"[0.15470999479293823, 0.2571265399456024, 1.0, 0.7685613036155701]",1280.0,/mnt/d/ASL/videos/UxuLj17UyDU.mkv,,test
TIME,time,7.761,34,11,232,272,UNIT 13 Vocabulary - turn on CC - Time  Days of the Week - ASL  American Sign Language,116,720.0,29.893,9.099,https://www.youtube.com/watch?v=iDFtTpXAMJE,time,"[0.0, 0.08578929305076599, 1.0, 0.9969381093978882]",1280.0,/mnt/d/ASL/videos/iDFtTpXAMJE.mp4,,test
Spring ,spring,0.667,132,-1,20,100,ASL Spring ,23,360.0,30.0,3.333,https://www.youtube.com/watch?v=WJCEpGRkGoM,spring,"[0.11112064123153687, 0.3262549638748169, 1.0, 0.7891446352005005]",480.0,/mnt/d/ASL/videos/WJCEpGRkGoM.mp4,1.0,test
good afternoon,good afternoon,1.6,29,-1,48,131,ASL Good Afternoon,970,360.0,30.0,4.367,https://www.youtube.com/watch?v=DSgPwoBN0tA,good afternoon,"[0.002642691135406494, 0.01012885570526123, 0.99875807762146, 0.8490716814994812]",540.0,/mnt/d/ASL/videos/DSgPwoBN0tA.mp4,1.0,test
HELLO,hello,0.87,34,11,26,60,ASL Unit 5 Vocabulary - Clothing Part 1 and 2 Turn on CC,0,720.0,29.892,2.007,https://www.youtube.com/watch?v=-DMFu-nAsok,hello,"[0.004950165748596191, 0.0, 1.0, 0.7811685800552368]",1280.0,/mnt/d/ASL/videos/-DMFu-nAsok.mp4,,test
angry,angry,0.0,11,39,0,40,ANGRY,462,360.0,29.97,1.335,www.youtube.com/watch?v=YyOXjqoQcvQ,angry,"[0.04319456219673157, 0.1983332335948944, 0.9988303780555725, 0.8306772708892822]",480.0,,,test
bake,bake,0.0,11,-1,0,34,BAKE 1,460,360.0,29.97,1.134,www.youtube.com/watch?v=PIWg0KJXdrw,bake,"[0.08992502093315125, 0.24797548353672028, 1.0, 0.7377028465270996]",540.0,,,test
doctor,doctor,0.333,29,-1,10,80,ASL doctor,51,360.0,30.0,2.667,https://www.youtube.com/watch?v=P6n_RCPh6Ug,doctor,"[0.0, 0.011358261108398438, 1.0, 0.7968449592590332]",540.0,/mnt/d/ASL/videos/P6n_RCPh6Ug.mp4,1.0,test
noon,noon,0.0,174,62,0,63,SignSchool Noon,282,360.0,29.97,2.102,www.youtube.com/watch?v=Eu4HtwwjVwk,noon,"[0.015133500099182129, 0.2187175303697586, 1.0, 0.6483811140060425]",640.0,,,test
start,start,0.0,11,39,0,43,START(1),173,360.0,29.97,1.435,www.youtube.com/watch?v=EPVzUCy40Cs,start,"[0.04074999690055847, 0.2032293677330017, 0.9988521337509155, 0.8154594898223877]",480.0,,,test
disappointed,disappointed,0.0,20,40,0,59,SignSchool Lemon 2,835,360.0,29.97,1.969,www.youtube.com/watch?v=6TiS-HIiKzM,disappointed,"[0.05157247185707092, 0.2858731746673584, 1.0, 0.8117818832397461]",640.0,,,test
quarter,quarter,0.0,20,-1,0,37,SignSchool Quarter copy,944,360.0,23.976,1.543,www.youtube.com/watch?v=LzecABx1io4,quarter,"[0.060613274574279785, 0.22640666365623474, 1.0, 0.8131399750709534]",640.0,,,test
toast,toast,0.0,20,40,0,45,SignSchool Toast 1h,450,360.0,29.97,1.502,www.youtube.com/watch?v=8YREd7PPdqM,toast,"[0.05156940221786499, 0.2966729402542114, 0.9999572038650513, 0.8351535797119141]",640.0,,,test
bank,bank,0.0,11,-1,0,81,bank,986,360.0,29.97,2.703,www.youtube.com/watch?v=bt344QEU2d0,bank,"[0.06907722353935242, 0.1719277799129486, 0.9959273338317871, 0.7530364990234375]",480.0,,,test
from,from,0.0,11,39,0,64,from,298,360.0,29.97,2.135,www.youtube.com/watch?v=4kAC3haiefE,from,"[0.07505276799201965, 0.1900801956653595, 1.0, 0.7804123163223267]",480.0,,,test
GAME,game,110.143,26,20,3301,3349,ASL3 Class 22 Vocabulary,412,720.0,29.97,111.745,https://www.youtube.com/watch?v=-ChOGBEL5uE,game,"[0.19031038880348206, 0.15988177061080933, 1.0, 0.7661844491958618]",1280.0,/mnt/d/ASL/videos/-ChOGBEL5uE.mkv,,test
money,money,0.0,11,39,0,44,MONEY(1),209,360.0,29.97,1.468,www.youtube.com/watch?v=kuO_0XkfoZQ,money,"[0.10537949204444885, 0.21690654754638672, 1.0, 0.7844640016555786]",480.0,,,test
ugly,ugly,0.0,20,40,0,26,SignSchool Ugly 2,199,360.0,23.976,1.084,www.youtube.com/watch?v=A6DXyzGvk1g,ugly,"[0.06651231646537781, 0.1718381643295288, 1.0, 0.8608726263046265]",640.0,,,test
book,book,0.0,11,39,0,37,BOOK(2),38,360.0,29.97,1.235,www.youtube.com/watch?v=3-GrhsVs830,book,"[0.07745608687400818, 0.24730902910232544, 1.0, 0.7127391695976257]",540.0,,,test
WHAT&#39;S UP?,what's up,15.3,34,11,459,499,Basic Greetings  Responses,520,720.0,30.0,16.633,https://www.youtube.com/watch?v=hCxSiN-vZS8,what's up,"[0.0, 0.00831592082977295, 1.0, 0.9165282249450684]",1280.0,/mnt/d/ASL/videos/hCxSiN-vZS8.mkv,,test
health,health,0.0,11,39,0,48,HEALTH,827,360.0,29.97,1.602,www.youtube.com/watch?v=zsbhcamBGbg,health,"[0.04627200961112976, 0.2139016091823578, 1.0, 0.7881773710250854]",480.0,,,test
argentina,argentina,0.333,29,-1,10,90,ASL Argentina,798,360.0,30.0,3.0,https://www.youtube.com/watch?v=TWXlyvGqdIQ,argentina,"[0.0, 0.031057417392730713, 0.99791419506073, 0.995598316192627]",540.0,/mnt/d/ASL/videos/TWXlyvGqdIQ.webm,1.0,test
EVERYDAY,everyday,0.0,67,13,0,67,EVERYDAY,343,720.0,15.219,4.402,https://www.youtube.com/watch?v=YPeDtBRE0Mg,everyday,"[0.046275973320007324, 0.12797096371650696, 1.0, 0.7670905590057373]",1280.0,,,test
dolphin,dolphin,0.0,11,39,0,81,DOLPHIN,527,360.0,29.97,2.703,www.youtube.com/watch?v=H3LR3WWunv0,dolphin,"[0.0357687771320343, 0.19758924841880798, 1.0, 0.8224306106567383]",490.0,,,test
cat,cat,0.0,11,39,0,34,CAT,121,360.0,29.97,1.134,www.youtube.com/watch?v=6EEK-SECVDo,cat,"[0.0729876458644867, 0.24668541550636292, 1.0, 0.6925816535949707]",540.0,,,test
upset,upset,0.0,20,-1,0,33,SignSchool Upset,876,360.0,23.976,1.376,www.youtube.com/watch?v=x7SwYx6dX9Q,upset,"[0.07423949241638184, 0.2743229269981384, 1.0, 0.7662367224693298]",640.0,,,test
PRACTICE,practice,0.0,67,13,0,74,PRACTICE(1),185,720.0,15.201,4.868,https://www.youtube.com/watch?v=MphRuIWLyxA,practice,"[0.024535059928894043, 0.20080578327178955, 1.0, 0.756535530090332]",1280.0,,,test
time,time,0.0,106,48,0,74,SignSchool time,116,360.0,29.97,2.469,www.youtube.com/watch?v=qx01CJ9Rpqw,time,"[0.024464279413223267, 0.41329506039619446, 1.0, 0.938141942024231]",640.0,,,test
engineer,engineer,0.0,11,39,0,44,ENGINEER,644,360.0,29.97,1.468,www.youtube.com/watch?v=b8VLZOUOFME,engineer,"[0.07518482208251953, 0.22120757400989532, 1.0, 0.7302881479263306]",540.0,,,test
friendly,friendly,0.0,11,39,0,65,FRIENDLY,248,360.0,29.97,2.169,www.youtube.com/watch?v=XU-Td6ZVTJ8,friendly,"[0.12737509608268738, 0.23274526000022888, 1.0, 0.8225059509277344]",490.0,,,test
MOTORCYCLE,motorcycle,14.791,34,11,442,502,Unit 8 Vocabulary - More travel-related vocabulary (turn on captions),583,720.0,29.883,16.799,https://www.youtube.com/watch?v=MRhaDlslxF8,motorcycle,"[0.004354625940322876, 0.003785431385040283, 0.9966676235198975, 0.8510440587997437]",1280.0,/mnt/d/ASL/videos/MRhaDlslxF8.mp4,,test
hard,hard,0.0,92,2,0,27,SignSchool Hard,528,360.0,23.976,1.126,www.youtube.com/watch?v=wuktyvLrrWI,hard,"[0.14449533820152283, 0.3359135091304779, 1.0, 0.738155722618103]",640.0,,,test
lobster,lobster,0.0,20,-1,0,38,SignSchool Lobster Crab 2,626,360.0,23.976,1.585,www.youtube.com/watch?v=P9mUuyXXY2s,lobster,"[0.07326453924179077, 0.2327015995979309, 1.0, 0.7994939088821411]",640.0,,,test
group,group,0.0,20,40,0,30,SignSchool Group 2,855,360.0,23.976,1.251,www.youtube.com/watch?v=RKoboUsMKH0,group,"[0.03553315997123718, 0.37575262784957886, 1.0, 0.9046343564987183]",640.0,,,test
brother,brother,0.0,106,48,0,65,SignSchool Brother,34,360.0,29.97,2.169,www.youtube.com/watch?v=r9yIUWZy1Mo,brother,"[0.05157533288002014, 0.39332836866378784, 1.0, 0.9402735233306885]",640.0,,,test
mad,mad,0.0,20,40,0,34,SignSchool Mad,152,360.0,29.97,1.134,www.youtube.com/watch?v=Ply5z_0iJjU,mad,"[0.02976936101913452, 0.37482306361198425, 1.0, 0.830375075340271]",640.0,,,test
SHELF,shelf,0.0,67,11,0,76,SHELF,857,720.0,29.97,2.536,https://www.youtube.com/watch?v=quTQJJdBY4k,shelves,"[0.0, 0.2439742386341095, 1.0, 0.774705171585083]",1280.0,,,test
meet,meet,0.0,11,39,0,59,meet(1),107,360.0,29.97,1.969,www.youtube.com/watch?v=W4FXyEWBu4I,meet,"[0.07558754086494446, 0.18659192323684692, 0.9964152574539185, 0.7923110723495483]",480.0,,,test
talk,talk,0.0,11,39,0,48,TALK,355,360.0,29.97,1.602,www.youtube.com/watch?v=2C95Ib4KdOg,talk,"[0.11192095279693604, 0.22347527742385864, 1.0, 0.7603322267532349]",480.0,,,test
INTERPRETER,interpreter,7.66,34,11,229,278,UNIT 20 (ASL) - Occupations  Roles Part 2  American Sign Language,328,720.0,29.897,9.299,https://www.youtube.com/watch?v=1epsH3wvEpU,interpreter,"[0.0009663105010986328, 0.13211137056350708, 0.9955828785896301, 0.8273364305496216]",1280.0,/mnt/d/ASL/videos/1epsH3wvEpU.mp4,,test
jump,jump,0.0,11,39,0,56,JUMP(2),383,360.0,29.97,1.869,www.youtube.com/watch?v=V7-4NGS-3EM,jump,"[0.09328874945640564, 0.1687696874141693, 1.0, 0.7737383842468262]",480.0,,,test
microwave,microwave,0.0,11,39,0,30,MICROWAVE,638,360.0,29.97,1.001,www.youtube.com/watch?v=poVDlJ6y6TE,microwave,"[0.08092543482780457, 0.15822264552116394, 1.0, 0.7437358498573303]",540.0,,,test
ANY,any,3.871,10,26,116,193,Lesson 8 Vocabulary - A Basic Course (ABC) in ASL,962,720.0,29.97,6.44,https://www.youtube.com/watch?v=HuViTIjghKk,any,"[0.3018675744533539, 0.23647233843803406, 0.9918758869171143, 0.6698591113090515]",1280.0,/mnt/d/ASL/videos/HuViTIjghKk.mkv,,test
tell,tell,0.0,11,39,0,55,TELL,402,360.0,29.97,1.835,www.youtube.com/watch?v=giIzGcYftow,tell,"[0.09161841869354248, 0.22786124050617218, 1.0, 0.6900299787521362]",480.0,,,test
ASK(av),ask,0.0,67,11,0,87,ASK(av),486,720.0,15.0,5.8,https://www.youtube.com/watch?v=sFVuaL7vxh8,ask,"[0.02462524175643921, 0.08535969257354736, 1.0, 0.7823013663291931]",1280.0,,,test
newspaper,newspaper,0.0,20,40,0,38,SignSchool Newspaper copy,243,360.0,29.97,1.268,www.youtube.com/watch?v=apetOQ4wfTo,newspaper,"[0.0471649169921875, 0.2791557013988495, 1.0, 0.8227413892745972]",640.0,,,test
animal,animal,0.0,11,39,0,56,ANIMAL,781,360.0,29.97,1.869,www.youtube.com/watch?v=7uGqFbh6Un4,animal,"[0.04531863331794739, 0.20508027076721191, 0.9985121488571167, 0.8404933214187622]",480.0,,,test
shop,shop,0.0,11,39,0,65,store,211,360.0,29.97,2.169,www.youtube.com/watch?v=Yp6frB0YVDo,shop,"[0.0724242627620697, 0.12624391913414001, 1.0, 0.8481806516647339]",480.0,,,test
silver,silver,0.0,11,-1,0,74,silver(2),765,360.0,29.97,2.469,www.youtube.com/watch?v=U8FGfq0ShOU,silver,"[0.06257390975952148, 0.133034348487854, 1.0, 0.7408708333969116]",480.0,,,test
medicine,medicine,0.0,11,39,0,50,MEDICINE(1),251,360.0,29.97,1.668,www.youtube.com/watch?v=AUEQVbV588c,medicine,"[0.09315291047096252, 0.19449472427368164, 1.0, 0.7819313406944275]",480.0,,,test
swimming,swimming,0.0,20,40,0,69,SignSchool Swimming,472,360.0,29.97,2.302,www.youtube.com/watch?v=GdaFWIWJd_U,swimming,"[0.05966004729270935, 0.18768009543418884, 1.0, 0.8959776163101196]",640.0,,,test
Forget ,forget,2.0,132,-1,60,140,ASL Forget ,36,360.0,30.0,4.667,https://www.youtube.com/watch?v=BwwJn_p5q4A,forget,"[0.07663947343826294, 0.2585853338241577, 1.0, 0.7704052925109863]",480.0,/mnt/d/ASL/videos/BwwJn_p5q4A.mp4,1.0,test
china,china,0.0,11,39,0,64,china,270,360.0,29.97,2.135,www.youtube.com/watch?v=qv2pBbiCUz0,china,"[0.06785476207733154, 0.16888278722763062, 0.9949716329574585, 0.7588280439376831]",480.0,,,test
PAY,pay,0.0,67,13,0,71,PAY,364,720.0,29.975,2.369,https://www.youtube.com/watch?v=NITbWXFWvYs,pay,"[0.05147838592529297, 0.28944259881973267, 1.0, 0.7623198628425598]",1280.0,,,test
cracker,cracker,0.0,11,39,0,65,CRACKER,380,360.0,29.97,2.169,www.youtube.com/watch?v=c4kEBqhREVg,cracker,"[0.07360047101974487, 0.1963065266609192, 1.0, 0.8174678087234497]",480.0,,,test
gold,gold,0.0,11,-1,0,54,gold(2),241,360.0,29.97,1.802,www.youtube.com/watch?v=xnA9DqV1qHE,gold,"[0.07528945803642273, 0.14323073625564575, 0.9990949630737305, 0.761875569820404]",480.0,,,test
every week,every week,0.667,29,-1,20,90,ASL Every week,712,360.0,30.0,3.0,https://www.youtube.com/watch?v=Pu6LyLkAyK8,every week,"[0.0, 0.07307642698287964, 1.0, 0.9141828417778015]",540.0,/mnt/d/ASL/videos/Pu6LyLkAyK8.mp4,1.0,test
carrot,carrot,0.0,11,39,0,43,CARROT(1),348,360.0,29.97,1.435,www.youtube.com/watch?v=LdbzhGeCc3E,carrot,"[0.10046377778053284, 0.19117364287376404, 1.0, 0.7579295039176941]",490.0,,,test
basketball,basketball,0.0,11,39,0,36,BASKETBALL(2),259,360.0,29.97,1.201,www.youtube.com/watch?v=CsqxlMUHwyg,basketball,"[0.0062635838985443115, 0.1430809497833252, 1.0, 0.7823968529701233]",540.0,,,test
delicious,delicious,0.0,11,39,0,46,DELICIOUS,319,360.0,29.97,1.535,www.youtube.com/watch?v=qam8P_wUuhg,delicious,"[0.052192091941833496, 0.22410959005355835, 0.9975041151046753, 0.7630884647369385]",480.0,,,test
rabbit,rabbit,0.0,11,39,0,54,RABBIT,758,360.0,29.97,1.802,www.youtube.com/watch?v=l5SIK3aStUs,rabbit,"[0.10542687773704529, 0.20080411434173584, 1.0, 0.8131859302520752]",480.0,,,test
psychologist,psychologist,0.0,11,39,0,40,PSYCHOLOGIST,571,360.0,29.97,1.335,www.youtube.com/watch?v=4fGHvcRZ22U,psychologist,"[0.08089140057563782, 0.23009313642978668, 1.0, 0.7187239527702332]",540.0,,,test
bad,bad,0.0,106,48,0,78,SignSchool bad5,81,360.0,29.97,2.603,www.youtube.com/watch?v=C2ZmFnTElHw,bad,"[0.01584264636039734, 0.3178544342517853, 1.0, 0.901335597038269]",640.0,,,test
MONKEY,monkey,6.667,34,11,200,236,Unit 21 - Animals (ASL) - turn on CC,504,720.0,30.0,7.867,https://www.youtube.com/watch?v=3m1X5NYCA_I,monkey,"[0.0, 0.03692770004272461, 0.9999521970748901, 0.9503685235977173]",1280.0,/mnt/d/ASL/videos/3m1X5NYCA_I.mp4,1.0,test
rock,rock,0.0,11,39,0,37,ROCK,870,360.0,29.97,1.235,www.youtube.com/watch?v=Lc9_PIP7xDc,rock,"[0.06732895970344543, 0.14804837107658386, 0.9975711107254028, 0.807586669921875]",540.0,,,test
MEDICINE,medicine,0.0,67,13,0,60,MEDICINE,251,720.0,15.0,4.0,https://www.youtube.com/watch?v=pupBwmtznhI,medicine,"[0.036430418491363525, 0.17508640885353088, 1.0, 0.8442239761352539]",1280.0,,,test
umbrella,umbrella,0.0,11,39,0,53,UMBRELLA,650,360.0,29.97,1.768,www.youtube.com/watch?v=7ep5eRb5xvA,umbrella,"[0.10389351844787598, 0.18379786610603333, 1.0, 0.7860656976699829]",540.0,,,test
your,your,0.0,92,43,0,37,SignSchool Your,101,360.0,23.976,1.543,www.youtube.com/watch?v=MIkG79V88nY,your,"[0.08980092406272888, 0.3593725562095642, 1.0, 0.7808272838592529]",640.0,,,test
LIVE,live,0.0,67,11,0,49,LIVE,98,720.0,29.976,1.635,https://www.youtube.com/watch?v=_iunoEUacUk,live,"[0.015479087829589844, 0.2906329035758972, 1.0, 0.7500560283660889]",1280.0,,,test
tall,tall,0.0,11,39,0,50,TALL 2,252,360.0,29.97,1.668,www.youtube.com/watch?v=sT8fYiXBtZE,tall,"[0.03297814726829529, 0.1692909598350525, 0.9996891021728516, 0.7711417078971863]",480.0,,,test
sleep,sleep,0.0,11,39,0,58,SLEEP(1),361,360.0,29.97,1.935,www.youtube.com/watch?v=GSqWd9aVVQE,sleep,"[0.058814674615859985, 0.21867287158966064, 0.9999663829803467, 0.7549479603767395]",480.0,,,test
winter,winter,4.404,90,73,132,182,Winter Celebration,428,360.0,29.97,6.073,https://www.youtube.com/watch?v=RCKaewmCXmk,winter,"[0.05494433641433716, 0.40631869435310364, 1.0, 0.8327243328094482]",640.0,/mnt/d/ASL/videos/RCKaewmCXmk.webm,,test
